Name,ID,Version,Description
GoogleChrome,Google.Chrome,Latest,Google Chrome is a cross-platform web browser developed by Google.
Putty,Putty.Putty,Latest,PuTTY is a free terminal emulator serial console and network file transfer application.
XMind,XMind.XMind,Latest,XMind is a mind mapping and brainstorming software.
Notepad++,Notepad++.Notepad++,Latest,Notepad++ is a free text and source code editor.
EvolusPencil,Evolus.Pencil,Latest,Evolus Pencil provides a free and open source GUI prototyping tool.
Belgium e-ID viewer,BelgianGovernment.eIDViewer,Latest,Gives you access to all your eID card data.
FileZilla Client,TimKosse.FileZilla.Client,Latest,FileZilla is a free open source file transfer protocol(FTP).
GanttProject,GanttProject.GanttProject,Latest,GanttProject is GPL-licensed Java based project management software.
GIMP,GIMP.GIMP,Latest,GIMP is a freely available open source application for creating and manipulating graphic images.
Mozilla Firefox,Mozilla.Firefox,Latest,Mozilla Firefox is a free and open-source web browser developed by the Mozilla Foundation and its subsidiary.
KeePassXC,KeePassXCTeam.KeePassXC,Latest,KeePassXC is a free and open-source password manager.
TreeSize Free,JAMSoftware.TreeSize.Free,Latest,TreeSize is a disk space analyzer.
WinSCP,WinSCP.WinSCP,Latest,WinSCP is a free and open-source SSH File Transfer Protocol, File Transfer Protocol, WebDAV, Amazon S3, and secure copy protocol client for Microsoft Windows.
SoapUI,SmartBear.SoapUI,Latest,SoapUI is an open-source web service testing application for Simple Object Access Protocol and representational state transfers.
VMware Horizon Client,VMware.HorizonClient,Latest,VMware Horizon is a modern platform for running and delivering virtual desktops and apps across the hybrid cloud.
Remote Desktop,Microsoft.RemoteDesktopClient,Latest,A remote desktop is a program or an operating system feature that allows a user to connect to a computer in another location.
MTPuTTY,TTYPlus.MTPutty,Latest,MTPuTTY is a small FREE utility enabling you to wrap unlimited number of PuTTY applications in one tabbed GUI interface.
TortoiseSVN,TortoiseSVN.TortoiseSVN,Latest,TortoiseSVN is a Subversion client implemented as a Microsoft Windows shell extension that helps programmers manage different versions of the source code for their programs.
TortoiseGit,TortoiseGit.TortoiseGit,Latest,TortoiseGit is a Git revision control client implemented as a Windows shell extension and based on TortoiseSVN.
TeamViewer,TeamViewer.TeamViewer,Latest,TeamViewer is a remote access and remote control computer software allowing maintenance of computers and other devices.
Microsoft PowerBI Desktop,Microsoft.PowerBI,Latest,Power BI is an interactive data visualization software product developed by Microsoft with a primary focus on business intelligence.
Windows Admin Center,Microsoft.WindowsAdminCenter,Latest,Windows Admin Center can handle a series of administrative tasks.
Power Automate Desktop,Microsoft.PowerAutomateDesktop,Latest,Power Automate Desktop allows you to automate both legacy applications such as terminal emulators modern web and desktop applications Excel files and folders.
Microsoft PowerApps CLI,Microsoft.PowerAppsCLI,Latest,Microsoft Power Platform CLI is a simple one-stop developer CLI that empowers developers and ISVs to perform various operations in Microsoft Power Platform.
